,Datetime,Open,High,Low,Close,Volume
45,2025-04-25 19:00:00,1796.4,1802.85,1791.5,1802.16,17609.6401
46,2025-04-25 20:00:00,1802.16,1806.3,1792.16,1798.33,12480.1878
47,2025-04-25 21:00:00,1798.32,1809.4,1785.4,1789.81,15573.558
48,2025-04-25 22:00:00,1789.82,1799.54,1788.76,1795.65,5122.8449
49,2025-04-25 23:00:00,1795.65,1798.8,1783.85,1784.6,12819.0587
50,2025-04-26 00:00:00,1784.6,1798.68,1784.6,1796.42,23399.4707
51,2025-04-26 01:00:00,1796.41,1815.81,1791.51,1807.3,15670.8383
52,2025-04-26 02:00:00,1807.29,1815.53,1801.41,1807.99,25064.7748
53,2025-04-26 03:00:00,1807.99,1810.11,1792.88,1797.48,15000.6273
54,2025-04-26 04:00:00,1797.48,1800.59,1790.21,1791.84,8090.1727
55,2025-04-26 05:00:00,1791.84,1797.88,1789.0,1794.45,6322.5534
56,2025-04-26 06:00:00,1794.45,1807.07,1794.0,1803.05,8579.7032
57,2025-04-26 07:00:00,1803.06,1810.88,1800.0,1800.49,12840.6197
58,2025-04-26 08:00:00,1800.49,1841.16,1798.23,1806.35,53153.9222
59,2025-04-26 09:00:00,1806.35,1815.67,1792.96,1803.47,24744.7738
60,2025-04-26 10:00:00,1803.48,1811.07,1801.44,1803.89,10330.0804
61,2025-04-26 11:00:00,1803.9,1806.39,1778.94,1785.85,27700.9803
62,2025-04-26 12:00:00,1785.86,1799.28,1784.2,1791.7,14918.4658
63,2025-04-26 13:00:00,1791.71,1795.5,1780.1,1790.42,14984.6726
64,2025-04-26 14:00:00,1790.41,1796.7,1785.06,1792.2,10229.948
65,2025-04-26 15:00:00,1792.2,1804.0,1792.19,1800.2,13038.4886
66,2025-04-26 16:00:00,1800.2,1804.87,1795.86,1802.94,7168.936
67,2025-04-26 17:00:00,1802.94,1807.26,1799.3,1804.5,6625.7425
68,2025-04-26 18:00:00,1804.49,1808.25,1800.82,1802.79,6192.0231
69,2025-04-26 19:00:00,1802.8,1814.89,1800.92,1813.08,8135.4026
70,2025-04-26 20:00:00,1813.08,1818.52,1805.51,1805.7,10269.6337
71,2025-04-26 21:00:00,1805.69,1815.81,1805.69,1812.05,7077.823
72,2025-04-26 22:00:00,1812.05,1831.09,1812.05,1816.28,17956.6431
73,2025-04-26 23:00:00,1816.27,1822.98,1814.05,1820.88,7571.7484
74,2025-04-27 00:00:00,1820.87,1849.5,1820.0,1842.03,33911.0313
75,2025-04-27 01:00:00,1842.04,1857.47,1801.02,1804.6,63309.4394
76,2025-04-27 02:00:00,1804.61,1818.1,1801.07,1813.24,14113.3224
77,2025-04-27 03:00:00,1813.23,1817.5,1805.55,1809.75,14442.8477
78,2025-04-27 04:00:00,1809.75,1811.6,1797.02,1798.2,15348.8644
79,2025-04-27 05:00:00,1798.2,1806.67,1790.27,1798.69,15642.4511
80,2025-04-27 06:00:00,1798.69,1804.28,1797.81,1800.62,9100.3857
81,2025-04-27 07:00:00,1800.62,1805.4,1797.22,1803.76,5844.1585
82,2025-04-27 08:00:00,1803.75,1815.52,1801.56,1810.09,12489.6545
83,2025-04-27 09:00:00,1810.1,1813.34,1805.31,1810.65,6538.6553
84,2025-04-27 10:00:00,1810.66,1812.94,1806.0,1809.19,5887.0317
85,2025-04-27 11:00:00,1809.19,1809.91,1803.35,1805.94,7128.0141
86,2025-04-27 12:00:00,1805.94,1807.49,1794.23,1796.19,14963.0046
87,2025-04-27 13:00:00,1796.19,1800.38,1781.9,1797.96,23003.5787
88,2025-04-27 14:00:00,1797.95,1808.1,1793.09,1796.63,17171.9885
89,2025-04-27 15:00:00,1796.63,1797.82,1789.11,1793.86,10857.0406
90,2025-04-27 16:00:00,1793.85,1798.19,1787.31,1795.29,12031.9183
91,2025-04-27 17:00:00,1795.29,1801.89,1792.86,1798.12,7051.84
