2025-08-04 10:51:27,118 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:51:27,119 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:51:27,119 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:51:27,120 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:51:27,121 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:51:27,122 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:51:27,122 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:51:27,123 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:51:27,124 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:51:27,125 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:51:27,126 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:51:27,127 - INFO - SELL 2746 ABS @ 3,800 VND, P&L: 631,580 VND (6.44%)
2025-08-04 10:51:27,127 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:51:27,128 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:51:27,129 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:51:27,130 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:51:27,131 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:51:27,132 - INFO - Backtest completed
2025-08-05 21:43:28,578 - INFO - Đã tính toán các chỉ báo kỹ thuật bằng TA-Lib
2025-08-05 21:43:28,979 - INFO - Backtest engine initialized with balance: 10,000,000 VND
2025-08-05 21:43:29,097 - INFO - Starting backtest with 50 signals
2025-08-05 21:43:29,102 - INFO - 📋 Quy tắc: Mua 100 CP với giá mở cửa nến tiếp theo, Bán toàn bộ với giá mở cửa nến tiếp theo
2025-08-05 21:43:29,118 - INFO - BUY 100 VNM @ 55,500 VND (Cost: 5,550,000 VND)
2025-08-05 21:43:29,212 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,229 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,242 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,247 - INFO - SELL 100 VNM @ 55,800 VND, P&L: 30,000 VND (0.54%)
2025-08-05 21:43:29,249 - INFO - BUY 100 VNM @ 57,000 VND (Cost: 5,700,000 VND)
2025-08-05 21:43:29,252 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,255 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,258 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,260 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,264 - INFO - SELL 100 VNM @ 55,600 VND, P&L: -140,000 VND (-2.46%)
2025-08-05 21:43:29,268 - INFO - No position in VNM, skipping SELL signal
2025-08-05 21:43:29,311 - INFO - No position in VNM, skipping SELL signal
2025-08-05 21:43:29,314 - INFO - BUY 100 VNM @ 56,400 VND (Cost: 5,640,000 VND)
2025-08-05 21:43:29,321 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,324 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,326 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,334 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,346 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,401 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,408 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,411 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,414 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,420 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,426 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,430 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,441 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,444 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,449 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,463 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,476 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,489 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,494 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,502 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,508 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,512 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,525 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,551 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,557 - INFO - Already have position in VNM, skipping BUY signal
