,Datetime,Open,High,Low,Close,Volume,Momentum,RSI,Predicted_Close,Buy_Signal,Sell_Signal
19,2024-03-05 02:30:00,1.085,1.08517,1.08489,1.08499,411,-0.000640000000000196,33.67346938774979,1.084981561760093,False,True
20,2024-03-05 03:00:00,1.085,1.08525,1.08493,1.08519,392,-0.0005399999999999849,36.89320388349661,1.0849681090446026,False,True
21,2024-03-05 03:30:00,1.08519,1.08545,1.08517,1.0854,308,-0.00017000000000000348,45.97156398104226,1.0851843015547518,False,True
22,2024-03-05 04:00:00,1.0854,1.0854,1.08515,1.08528,316,-0.00019999999999997797,45.32710280373841,1.0854272226672428,False,False
23,2024-03-05 04:30:00,1.08528,1.08534,1.08496,1.08503,289,-0.0005399999999999849,38.26086956521756,1.0853043377270382,False,False
24,2024-03-05 05:00:00,1.08504,1.08532,1.08501,1.08517,328,-0.000320000000000098,43.220338983049174,1.0850335581179322,False,True
25,2024-03-05 05:30:00,1.08517,1.08537,1.08491,1.08525,448,-0.00021999999999988695,45.454545454547954,1.0851898375757978,False,True
26,2024-03-05 06:00:00,1.08525,1.0853,1.08478,1.08494,537,-0.0007999999999999119,33.73983739837662,1.0852772282493062,False,False
27,2024-03-05 06:30:00,1.08496,1.08496,1.08444,1.08466,561,-0.0007800000000000029,34.016393442624334,1.084935493085926,False,False
28,2024-03-05 07:00:00,1.08468,1.0851,1.0846,1.08471,846,-0.00043999999999999595,40.00000000000202,1.0846529566349743,False,True
29,2024-03-05 07:30:00,1.08473,1.08474,1.08413,1.08461,802,-0.0006800000000000139,34.25925925926174,1.0847134495648623,False,False
30,2024-03-05 08:00:00,1.0846,1.08515,1.08446,1.08476,1284,-0.00038000000000004697,41.203703703703276,1.0845935813859495,False,True
31,2024-03-05 08:30:00,1.08476,1.08494,1.08429,1.0847,1131,-0.00024000000000001798,44.059405940594004,1.0847668310608163,False,False
32,2024-03-05 09:00:00,1.08471,1.08555,1.08469,1.08549,898,0.0004900000000001015,58.90909090909194,1.0847134891041668,False,False
33,2024-03-05 09:30:00,1.08549,1.0855299999999999,1.08494,1.08513,894,0.000140000000000029,52.25806451612926,1.0855478782253563,True,False
34,2024-03-05 10:00:00,1.0851,1.08545,1.08494,1.08522,801,2.999999999997449e-05,50.50167224080221,1.0851704346557742,False,False
35,2024-03-05 10:30:00,1.08521,1.08535,1.0849,1.08501,657,-0.00038999999999989043,43.478260869568125,1.0852594067548471,False,False
36,2024-03-05 11:00:00,1.08499,1.08519,1.08478,1.08517,735,-0.0001100000000000545,48.18481848184761,1.0850379834751216,False,True
37,2024-03-05 11:30:00,1.08517,1.08533,1.08479,1.08496,757,-7.00000000000145e-05,48.82943143812704,1.0852059702736907,False,False
38,2024-03-05 12:00:00,1.08497,1.08503,1.08458,1.08478,767,-0.00038999999999989043,43.56435643564603,1.0849947844438468,False,False
