Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
VCB,56200,02/06/2025,11:28:31,56200,56200,56100,56200,3100
VCB,56100,02/06/2025,11:29:46,56100,56100,56100,56100,3700
VCB,56100,02/06/2025,11:29:46,56100,56100,56100,56100,3700
VCB,56100,02/06/2025,11:29:46,56100,56100,56100,56100,3700
VCB,56100,02/06/2025,13:00:50,56100,56200,56100,56100,32400
VCB,56100,02/06/2025,13:00:50,56100,56200,56100,56100,32400
VCB,56100,02/06/2025,13:00:50,56100,56200,56100,56100,32400
VCB,56100,02/06/2025,13:01:48,56100,56200,56100,56100,8100
VCB,56100,02/06/2025,13:01:48,56100,56200,56100,56100,8100
VCB,56100,02/06/2025,13:01:48,56100,56200,56100,56100,8100
VCB,56100,02/06/2025,13:02:55,56100,56200,56100,56100,4700
VCB,56100,02/06/2025,13:02:55,56100,56200,56100,56100,4700
VCB,56100,02/06/2025,13:02:55,56100,56200,56100,56100,4700
VCB,56200,02/06/2025,13:03:52,56200,56200,56100,56200,11500
VCB,56200,02/06/2025,13:03:52,56200,56200,56100,56200,11500
VCB,56200,02/06/2025,13:03:52,56200,56200,56100,56200,11500
VCB,56100,02/06/2025,13:04:43,56100,56100,56100,56100,1700
VCB,56100,02/06/2025,13:04:43,56100,56100,56100,56100,1700
VCB,56100,02/06/2025,13:04:43,56100,56100,56100,56100,1700
VCB,56200,02/06/2025,13:05:50,56100,56200,56100,56200,8900
VCB,56200,02/06/2025,13:05:50,56100,56200,56100,56200,8900
VCB,56200,02/06/2025,13:05:50,56100,56200,56100,56200,8900
VCB,56100,02/06/2025,13:06:43,56200,56200,56100,56100,4300
VCB,56100,02/06/2025,13:06:43,56200,56200,56100,56100,4300
VCB,56100,02/06/2025,13:06:43,56200,56200,56100,56100,4300
VCB,56200,02/06/2025,13:07:46,56100,56200,56100,56200,38200
VCB,56200,02/06/2025,13:07:46,56100,56200,56100,56200,38200
VCB,56200,02/06/2025,13:07:46,56100,56200,56100,56200,38200
VCB,56200,02/06/2025,13:08:44,56100,56200,56100,56200,10600
VCB,56200,02/06/2025,13:08:44,56100,56200,56100,56200,10600
VCB,56200,02/06/2025,13:08:44,56100,56200,56100,56200,10600
VCB,56200,02/06/2025,13:09:39,56200,56200,56100,56200,31400
VCB,56200,02/06/2025,13:09:39,56200,56200,56100,56200,31400
VCB,56200,02/06/2025,13:09:39,56200,56200,56100,56200,31400
VCB,56200,02/06/2025,13:10:57,56200,56300,56200,56200,5600
VCB,56200,02/06/2025,13:10:57,56200,56300,56200,56200,5600
VCB,56200,02/06/2025,13:10:57,56200,56300,56200,56200,5600
VCB,56300,02/06/2025,13:11:56,56200,56300,56200,56300,2300
VCB,56300,02/06/2025,13:11:56,56200,56300,56200,56300,2300
VCB,56300,02/06/2025,13:11:56,56200,56300,56200,56300,2300
VCB,56200,02/06/2025,13:12:40,56200,56200,56200,56200,1800
VCB,56200,02/06/2025,13:12:40,56200,56200,56200,56200,1800
VCB,56200,02/06/2025,13:12:40,56200,56200,56200,56200,1800
VCB,56200,02/06/2025,13:13:43,56200,56200,56200,56200,9200
VCB,56200,02/06/2025,13:13:43,56200,56200,56200,56200,9200
VCB,56200,02/06/2025,13:13:43,56200,56200,56200,56200,9200
VCB,56200,02/06/2025,13:14:53,56200,56300,56200,56200,28800
VCB,56200,02/06/2025,13:14:53,56200,56300,56200,56200,28800
VCB,56200,02/06/2025,13:14:53,56200,56300,56200,56200,28800
VCB,56200,02/06/2025,13:15:56,56200,56200,56200,56200,4900
VCB,56200,02/06/2025,13:15:56,56200,56200,56200,56200,4900
VCB,56200,02/06/2025,13:15:56,56200,56200,56200,56200,4900
VCB,56200,02/06/2025,13:16:58,56200,56200,56200,56200,17100
VCB,56200,02/06/2025,13:16:58,56200,56200,56200,56200,17100
VCB,56200,02/06/2025,13:16:58,56200,56200,56200,56200,17100
VCB,56200,02/06/2025,13:17:59,56200,56200,56100,56200,11400
VCB,56200,02/06/2025,13:17:59,56200,56200,56100,56200,11400
VCB,56200,02/06/2025,13:17:59,56200,56200,56100,56200,11400
VCB,56200,02/06/2025,13:18:46,56200,56200,56100,56200,6000
VCB,56200,02/06/2025,13:18:46,56200,56200,56100,56200,6000
VCB,56200,02/06/2025,13:18:46,56200,56200,56100,56200,6000
VCB,56200,02/06/2025,13:19:54,56200,56200,56100,56200,10100
VCB,56200,02/06/2025,13:19:54,56200,56200,56100,56200,10100
VCB,56200,02/06/2025,13:19:54,56200,56200,56100,56200,10100
VCB,56200,02/06/2025,13:20:58,56100,56200,56100,56200,2300
VCB,56200,02/06/2025,13:20:58,56100,56200,56100,56200,2300
VCB,56200,02/06/2025,13:20:58,56100,56200,56100,56200,2300
VCB,56100,02/06/2025,13:21:57,56100,56200,56100,56100,20100
