,ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
374,20997666,2024-11-22 19:50:39,1732305039961,2024-11-22 19:50:39,1732305039967,0,1,0,1,4,234000,20996644,0,5,0.01,0.0,20798.4,0.0,0.0,20798.4,0.0,US100,[tp 20798.4],
375,20997679,2024-11-22 19:51:00,1732305060746,2024-11-22 19:51:00,1732305060749,0,1,0,1,4,234000,20996763,0,5,0.01,0.0,20799.4,0.0,0.0,20799.4,0.0,US100,[tp 20799.4],
376,20997680,2024-11-22 19:51:00,1732305060748,2024-11-22 19:51:00,1732305060752,0,1,0,1,4,234000,20996832,0,5,0.01,0.0,20799.6,0.0,0.0,20799.6,0.0,US100,[tp 20799.6],
377,20997687,2024-11-22 19:51:14,1732305074073,2024-11-22 19:51:14,1732305074074,0,0,0,0,4,234000,20997687,0,3,0.01,0.0,0.0,20756.6,20816.6,20796.1,0.0,US100,python script op,
378,20997704,2024-11-22 19:52:14,1732305134529,2024-11-22 19:52:14,1732305134531,0,0,0,0,4,234000,20997704,0,3,0.01,0.0,0.0,20754.6,20814.6,20795.1,0.0,US100,python script op,
379,20997736,2024-11-22 19:53:15,1732305195664,2024-11-22 19:53:15,1732305195665,0,0,0,0,4,234000,20997736,0,3,0.01,0.0,0.0,20746.4,20806.4,20786.4,0.0,US100,python script op,
380,20997778,2024-11-22 19:54:16,1732305256093,2024-11-22 19:54:16,1732305256095,0,0,0,0,4,234000,20997778,0,3,0.01,0.0,0.0,20756.1,20816.1,20796.1,0.0,US100,python script op,
381,20997816,2024-11-22 19:55:16,1732305316546,2024-11-22 19:55:16,1732305316547,0,0,0,0,4,234000,20997816,0,3,0.01,0.0,0.0,20759.6,20819.6,20799.6,0.0,US100,python script op,
382,20997827,2024-11-22 19:56:08,1732305368534,2024-11-22 19:56:08,1732305368535,0,0,0,1,4,234000,20997389,0,4,0.01,0.0,20803.3,0.0,0.0,20803.3,0.0,US100,[sl 20803.3],
383,20997829,2024-11-22 19:56:10,1732305370251,2024-11-22 19:56:10,1732305370253,0,1,0,1,4,234000,20997627,0,5,0.01,0.0,20802.4,0.0,0.0,20802.4,0.0,US100,[tp 20802.4],
384,20997841,2024-11-22 19:56:16,1732305376979,2024-11-22 19:56:16,1732305376980,0,0,0,0,4,234000,20997841,0,3,0.01,0.0,0.0,20763.4,20823.4,20802.6,0.0,US100,python script op,
385,20997871,2024-11-22 19:56:58,1732305418970,2024-11-22 19:56:58,1732305418972,0,0,0,1,4,234000,20997454,0,4,0.01,0.0,20805.8,0.0,0.0,20805.8,0.0,US100,[sl 20805.8],
386,20997873,2024-11-22 19:57:06,1732305426995,2024-11-22 19:57:06,1732305426998,0,0,0,1,4,234000,20997422,0,4,0.01,0.0,20806.3,0.0,0.0,20806.3,0.0,US100,[sl 20806.3],
387,20997874,2024-11-22 19:57:06,1732305426997,2024-11-22 19:57:07,1732305427002,0,0,0,1,4,234000,20997533,0,4,0.01,0.0,20806.3,0.0,0.0,20806.3,0.0,US100,[sl 20806.3],
388,20997885,2024-11-22 19:57:17,1732305437675,2024-11-22 19:57:17,1732305437678,0,0,0,0,4,234000,20997885,0,3,0.01,0.0,0.0,20761.4,20821.4,20800.9,0.0,US100,python script op,
389,20997899,2024-11-22 19:58:18,1732305498136,2024-11-22 19:58:18,1732305498137,0,0,0,0,4,234000,20997899,0,3,0.01,0.0,0.0,20753.6,20813.6,20793.9,0.0,US100,python script op,
390,20997924,2024-11-22 19:59:18,1732305558585,2024-11-22 19:59:18,1732305558586,0,0,0,0,4,234000,20997924,0,3,0.01,0.0,0.0,20758.9,20818.9,20798.9,0.0,US100,python script op,
391,20998021,2024-11-22 20:00:19,1732305619078,2024-11-22 20:00:19,1732305619079,0,0,0,0,4,234000,20998021,0,3,0.01,0.0,0.0,20754.4,20814.4,20794.4,0.0,US100,python script op,
392,20998050,2024-11-22 20:01:19,1732305679498,2024-11-22 20:01:19,1732305679500,0,0,0,0,4,234000,20998050,0,3,0.01,0.0,0.0,20751.9,20811.9,20791.1,0.0,US100,python script op,
393,20998127,2024-11-22 20:02:19,1732305739933,2024-11-22 20:02:19,1732305739935,0,0,0,0,4,234000,20998127,0,3,0.01,0.0,0.0,20747.6,20807.6,20787.6,0.0,US100,python script op,
394,20998180,2024-11-22 20:03:20,1732305800616,2024-11-22 20:03:20,1732305800617,0,0,0,0,4,234000,20998180,0,3,0.01,0.0,0.0,20757.1,20817.1,20798.1,0.0,US100,python script op,
395,20998217,2024-11-22 20:04:09,1732305849263,2024-11-22 20:04:09,1732305849264,0,0,0,0,4,234000,20998217,0,3,0.01,0.0,0.0,20760.1,20820.1,20800.4,0.0,US100,python script op,
396,20998251,2024-11-22 20:05:21,1732305921749,2024-11-22 20:05:21,1732305921750,0,0,0,0,4,234000,20998251,0,3,0.01,0.0,0.0,20764.4,20824.4,20803.9,0.0,US100,python script op,
397,20998269,2024-11-22 20:05:35,1732305935250,2024-11-22 20:05:35,1732305935252,0,0,0,1,4,234000,20997518,0,4,0.01,0.0,20807.1,0.0,0.0,20807.1,0.0,US100,[sl 20807.1],
398,20998297,2024-11-22 20:06:22,1732305982463,2024-11-22 20:06:22,1732305982465,0,0,0,0,4,234000,20998297,0,3,0.01,0.0,0.0,20760.1,20820.1,20800.1,0.0,US100,python script op,
399,20998316,2024-11-22 20:07:10,1732306030870,2024-11-22 20:07:10,1732306030871,0,0,0,0,4,234000,20998316,0,3,0.01,0.0,0.0,20764.4,20824.4,20804.4,0.0,US100,python script op,
400,20998347,2024-11-22 20:08:12,1732306092277,2024-11-22 20:08:12,1732306092280,0,1,0,1,4,234000,20997736,0,5,0.01,0.0,20806.4,0.0,0.0,20806.4,0.0,US100,[tp 20806.4],
401,20998349,2024-11-22 20:08:12,1732306092516,2024-11-22 20:08:12,1732306092519,0,1,0,1,4,234000,20998127,0,5,0.01,0.0,20807.6,0.0,0.0,20807.6,0.0,US100,[tp 20807.6],
402,20998352,2024-11-22 20:08:23,1732306103459,2024-11-22 20:08:23,1732306103460,0,0,0,0,4,234000,20998352,0,3,0.01,0.0,0.0,20766.6,20826.6,20807.1,0.0,US100,python script op,
