,Datetime,Open,High,Low,Close,Volume,MACD,Signal_Line,RSI,Predicted_Close,Buy_Signal,Sell_Signal
32,2025-07-31,3810.0,3878.67,3684.33,3698.39,516088.4503,303.16896809286754,,67.94383181900008,3796.924633609575,False,False
33,2025-08-01,3698.39,3724.02,3431.75,3488.2,783869.1517,303.16896809286754,392.9957590889619,54.93354882979956,3635.8009922075607,False,False
34,2025-08-02,3488.21,3537.69,3368.29,3393.94,494195.7094,260.1270028515669,366.4220078414829,50.283453333354686,3474.8894348864533,False,False
35,2025-08-03,3393.94,3521.79,3354.28,3496.74,296347.6758,231.6408249234646,339.4657712578793,54.77930346467392,3472.6249201281066,False,False
36,2025-08-04,3496.75,3736.73,3490.73,3720.99,463349.9861,224.5717017612933,316.4869573585621,62.70271345131749,3671.5568345483935,False,False
37,2025-08-05,3720.99,3722.24,3546.0,3612.0,489070.9589,207.77963430647242,294.74549274814416,57.435352764230416,3657.087082138776,False,False
38,2025-08-06,3612.01,3698.6,3564.19,3683.31,365309.9205,197.9441440292594,275.3852230043672,59.81399964309209,3641.321537222507,False,False
39,2025-08-07,3683.31,3927.77,3647.63,3910.31,631678.9872,206.09076396558294,261.5263311966104,66.27491551113287,3848.0606819939744,False,False
40,2025-08-08,3910.3,4071.0,3880.0,4009.5,723300.0109,218.037423300701,252.8285496174285,68.64697444533816,3978.4495861314067,False,False
41,2025-08-09,4009.51,4326.2,4006.63,4260.62,691932.1048,244.94494929487382,251.25182955291757,73.69195113825123,4223.735225515567,False,True
42,2025-08-10,4260.63,4332.6,4153.07,4250.57,494843.8105,262.4332394692842,253.4881115361909,73.1844140889833,4236.900725703195,False,False
43,2025-08-11,4250.58,4366.46,4166.77,4223.22,722664.04,270.96243274588187,256.9829757781291,71.73643124988197,4256.902630079609,False,False
44,2025-08-12,4223.22,4639.7,4219.04,4590.52,885288.0652,303.8572430595027,266.3578292344038,78.02466413048207,4509.864065087399,False,False
45,2025-08-13,4590.52,4783.85,4564.33,4749.3,925931.4988,338.8329805637982,280.8528595002827,80.08716554507656,4640.340153761987,False,False
46,2025-08-14,4749.31,4788.0,4451.33,4546.84,1265449.0453,346.2236241291148,293.92701242604915,70.9438892191131,4627.254634179211,False,False
47,2025-08-15,4546.84,4672.67,4368.0,4439.47,880409.2591,339.5033178155695,303.0422735039532,66.60128796377779,4537.0438141301165,False,False
48,2025-08-16,4439.47,4490.42,4372.54,4421.99,358676.5884,328.9747209281413,308.22876298879083,65.89411645035334,4388.372786771733,False,False
49,2025-08-17,4422.0,4576.0,4393.98,4472.33,442461.3829,320.9925470598928,310.78151980301124,66.98143498536302,4467.541678530657,False,False
50,2025-08-18,4472.34,4481.88,4225.86,4312.99,823188.1269,298.3697892194141,308.2991736862918,60.41583317051511,4360.398944051232,False,False
51,2025-08-19,4312.99,4355.0,4067.34,4075.59,831222.7951,258.30728903990075,298.3007967570136,52.20523606039188,4242.452076146732,False,False
52,2025-08-20,4075.58,4378.0,4060.0,4336.16,728324.8933,244.76182834039673,287.5930030736902,58.820319512024,4271.498659766192,False,False
53,2025-08-21,4336.16,4340.26,4204.2,4225.3,433836.3992,222.51644655770406,274.577691770493,55.312680768522206,4250.6694447018635,False,False
54,2025-08-22,4225.3,4887.59,4207.39,4832.07,1277976.63526,250.95523351932388,269.8532001202592,66.93494288195618,4734.997812619562,False,False
55,2025-08-23,4832.07,4832.07,4659.7,4778.4,512442.0888,266.0950781927377,269.1015757347549,65.316776096676,4714.437452735547,False,False
56,2025-08-24,4778.4,4956.78,4711.0,4780.15,780668.77842,275.06395845603674,270.2940522790112,65.34619405045925,4820.010367346016,False,False
57,2025-08-25,4780.15,4797.97,4334.13,4376.18,1043917.1659,246.7306998765016,265.5813817985093,53.9668804720464,4659.183210863735,False,False
58,2025-08-26,4376.17,4633.46,4311.04,4600.63,834750.2767,239.6253753497831,260.39018050876405,58.3107342010887,4511.404122621276,False,False
59,2025-08-27,4600.63,4663.93,4481.53,4506.71,606669.3611,223.83555840890858,253.07925608879296,55.932302727872276,4552.386102197577,False,False
60,2025-08-28,4506.71,4633.97,4467.63,4542.59,306332.6931,211.77600885797983,244.81860664263033,56.659603497972064,4540.288603243456,False,False
