Datetime,Open,High,Low,Close,Volume,MA10,MA20,RSI
2025-09-19 15:49:00,1.3465099999999999,1.3467799999999999,1.34631,1.34665,244,1.347053,1.346958,39.495970403009736
2025-09-19 15:50:00,1.34664,1.34664,1.34643,1.34653,188,1.346969,1.346937,37.31574219223592
2025-09-19 15:51:00,1.34653,1.34665,1.34644,1.34646,231,1.3468810000000002,1.3469235000000002,36.06508689668025
2025-09-19 15:52:00,1.34645,1.3465500000000001,1.34641,1.34647,206,1.34681,1.346904,36.39305884268871
2025-09-19 15:53:00,1.34647,1.3465500000000001,1.34643,1.34652,115,1.3467240000000003,1.346892,38.10277679385629
2025-09-19 15:54:00,1.34652,1.34667,1.3465,1.3465,193,1.3466470000000004,1.346884,37.666641201249426
2025-09-19 15:55:00,1.34649,1.34686,1.34642,1.3468499999999999,256,1.3466270000000002,1.3468885,48.72714976247541
2025-09-19 15:56:00,1.3468499999999999,1.3468499999999999,1.34663,1.3467500000000001,159,1.3466160000000005,1.3468895,46.20450813821264
2025-09-19 15:57:00,1.3467500000000001,1.34694,1.34659,1.34663,185,1.3465870000000004,1.346873,43.307100591425936
2025-09-19 15:58:00,1.34663,1.34676,1.34662,1.34676,189,1.3466120000000004,1.346859,47.17198340926671
2025-09-19 15:59:00,1.3467799999999999,1.34686,1.34672,1.3468499999999999,223,1.3466320000000003,1.3468425,49.7271824116237
2025-09-19 16:00:00,1.3468499999999999,1.34706,1.34684,1.34704,195,1.3466830000000003,1.3468259999999999,54.70776298066967
2025-09-19 16:01:00,1.34704,1.34706,1.34692,1.34696,240,1.3467330000000002,1.3468069999999999,52.355788954335516
2025-09-19 16:02:00,1.34696,1.34708,1.34686,1.34707,124,1.3467930000000004,1.3468014999999998,55.207319318065274
2025-09-19 16:03:00,1.34707,1.34717,1.3468499999999999,1.34717,248,1.3468580000000003,1.3467909999999996,57.686665177435145
2025-09-19 16:04:00,1.3471600000000001,1.34783,1.34714,1.34776,355,1.3469840000000002,1.3468154999999995,68.6961033209682
2025-09-19 16:05:00,1.34775,1.34775,1.3473899999999999,1.3475,303,1.3470490000000002,1.3468379999999995,61.14585952544454
2025-09-19 16:06:00,1.34751,1.34764,1.34745,1.34759,286,1.3471330000000001,1.3468744999999998,62.67511889442727
2025-09-19 16:07:00,1.34759,1.34798,1.34755,1.34788,209,1.3472580000000003,1.3469224999999996,67.16032919319677
2025-09-19 16:08:00,1.34788,1.3479,1.34754,1.34769,176,1.3473510000000002,1.3469814999999996,61.911126194704465
2025-09-19 16:09:00,1.34769,1.34779,1.34747,1.34776,264,1.3474420000000003,1.3470369999999998,63.056757020510425
2025-09-19 16:10:00,1.34776,1.34798,1.34775,1.34788,256,1.3475260000000002,1.3471044999999997,65.00023479864974
2025-09-19 16:11:00,1.34789,1.34815,1.34789,1.3481,214,1.3476400000000004,1.3471864999999996,68.29344696709379
2025-09-19 16:12:00,1.34811,1.34839,1.34811,1.34833,198,1.3477660000000005,1.3472794999999995,71.33057690660185
2025-09-19 16:13:00,1.3483399999999999,1.34857,1.34833,1.34854,230,1.3479030000000003,1.3473804999999994,73.79842219106037
2025-09-19 16:14:00,1.34855,1.34886,1.34854,1.3488,244,1.3480070000000004,1.3474954999999995,76.49603070169707
2025-09-19 16:15:00,1.34878,1.3488,1.34864,1.34878,249,1.3481350000000005,1.3475919999999997,75.8491214466796
2025-09-19 16:16:00,1.34878,1.3493,1.3486500000000001,1.34921,281,1.3482970000000003,1.3477149999999996,79.80369401092672
2025-09-19 16:17:00,1.34923,1.34944,1.34921,1.3492600000000001,339,1.3484350000000003,1.3478464999999997,80.20949190731712
2025-09-19 16:18:00,1.34925,1.3493,1.34907,1.3492899999999999,205,1.3485950000000002,1.3479729999999996,80.46313823952225
2025-09-19 16:19:00,1.3492899999999999,1.34937,1.34897,1.34927,287,1.3487460000000002,1.3480939999999997,79.72949640574083
2025-09-19 16:20:00,1.34927,1.34927,1.34896,1.349,248,1.3488580000000003,1.3481919999999996,70.39772299807208
2025-09-19 16:21:00,1.34897,1.3489900000000001,1.34871,1.34875,211,1.3489230000000003,1.3482814999999997,63.040320671079485
2025-09-19 16:22:00,1.34875,1.34875,1.34832,1.34832,234,1.3489220000000002,1.3483439999999998,52.81580140887957
2025-09-19 16:23:00,1.34832,1.34835,1.34821,1.3483100000000001,250,1.348899,1.348401,52.60213116218376
2025-09-19 16:24:00,1.3483,1.34849,1.34829,1.34849,173,1.348868,1.3484375,56.0488628873908
2025-09-19 16:25:00,1.34851,1.3487,1.34839,1.3487,228,1.3488600000000002,1.3484975000000001,59.72829004966784
2025-09-19 16:26:00,1.3487,1.3487,1.34835,1.3484099999999999,183,1.34878,1.3485385,53.115364314072245
2025-09-19 16:27:00,1.3484099999999999,1.34863,1.3484099999999999,1.34848,132,1.3487020000000003,1.3485685,54.42697852224065
2025-09-19 16:28:00,1.34848,1.34851,1.34828,1.3484,162,1.3486130000000003,1.3486040000000001,52.61536810092824
2025-09-19 16:29:00,1.3484099999999999,1.34859,1.3484099999999999,1.34859,188,1.348545,1.3486455000000002,56.33288839750254
2025-09-19 16:30:00,1.3486,1.34869,1.34833,1.3486500000000001,377,1.3485100000000003,1.348684,57.46768287408448
2025-09-19 16:31:00,1.3486500000000001,1.34878,1.34853,1.3486,353,1.3484950000000002,1.3487090000000002,56.15796561340972
2025-09-19 16:32:00,1.3486,1.34877,1.34854,1.34866,273,1.3485290000000005,1.3487255,57.412273773233004
2025-09-19 16:33:00,1.34867,1.34879,1.3486,1.34878,257,1.3485760000000004,1.3487375000000001,59.88424385881784
2025-09-19 16:34:00,1.34878,1.3491900000000001,1.34876,1.3491900000000001,317,1.3486460000000005,1.3487570000000002,66.944089094338
2025-09-19 16:35:00,1.3492199999999999,1.3492899999999999,1.3491,1.34918,264,1.3486940000000005,1.3487770000000001,66.6360609910181
2025-09-19 16:36:00,1.34915,1.34937,1.34915,1.34934,227,1.3487870000000004,1.3487835000000001,69.08695514160928
2025-09-19 16:37:00,1.34934,1.34935,1.34906,1.34913,244,1.3488520000000004,1.3487770000000001,62.58828784739045
2025-09-19 16:38:00,1.34912,1.34916,1.34885,1.34903,256,1.3489150000000005,1.348764,59.708061549749694
2025-09-19 16:39:00,1.34904,1.34924,1.3490199999999999,1.34914,203,1.3489700000000007,1.3487575,61.79100065143969
2025-09-19 16:40:00,1.34915,1.34917,1.34905,1.34912,208,1.3490170000000006,1.3487635,61.171799632778956
2025-09-19 16:41:00,1.34912,1.34912,1.34893,1.34898,226,1.3490550000000006,1.348775,56.87531767273205
2025-09-19 16:42:00,1.349,1.34908,1.3489200000000001,1.34898,253,1.3490870000000004,1.348808,56.87531767273205
2025-09-19 16:43:00,1.3489900000000001,1.34913,1.34866,1.34872,323,1.3490810000000004,1.3488285,49.401887864853855
2025-09-19 16:44:00,1.34872,1.34877,1.34863,1.34872,184,1.3490340000000005,1.3488399999999998,49.40188786485386
2025-09-19 16:45:00,1.34874,1.34874,1.34852,1.3486500000000001,204,1.3489810000000007,1.3488374999999997,47.45486554328864
2025-09-19 16:46:00,1.34863,1.3489499999999999,1.3486,1.34864,277,1.3489110000000006,1.3488489999999997,47.16886330049354
2025-09-19 16:47:00,1.34864,1.34884,1.34864,1.34884,242,1.3488820000000004,1.3488669999999998,53.238860075260355
2025-09-19 16:48:00,1.34884,1.3493,1.34883,1.34924,228,1.3489030000000004,1.3489089999999997,62.51505836090217
2025-09-19 16:49:00,1.34924,1.3492600000000001,1.34907,1.3492,287,1.3489090000000004,1.3489394999999997,61.207461158391766
2025-09-19 16:50:00,1.3491900000000001,1.34939,1.34915,1.3492899999999999,245,1.3489260000000005,1.3489714999999998,63.07871764945243
2025-09-19 16:51:00,1.34928,1.34934,1.34924,1.34927,237,1.3489550000000006,1.3490049999999996,62.358845532588404
2025-09-19 16:52:00,1.34928,1.34937,1.34921,1.34933,202,1.3489900000000004,1.3490384999999996,63.697340898409834
2025-09-19 16:53:00,1.34934,1.34948,1.34933,1.34944,226,1.3490620000000004,1.3490714999999995,66.07884168315088
2025-09-19 16:54:00,1.34944,1.34945,1.3492199999999999,1.34923,268,1.3491130000000005,1.3490734999999996,58.22578173908277
2025-09-19 16:55:00,1.34923,1.34925,1.34893,1.34905,262,1.3491530000000003,1.3490669999999994,52.46974761464504
2025-09-19 16:56:00,1.34905,1.3492600000000001,1.349,1.34914,206,1.3492030000000004,1.3490569999999993,54.87194839093483
2025-09-19 16:57:00,1.34914,1.3492600000000001,1.34903,1.34925,311,1.3492440000000003,1.3490629999999995,57.68676601305166
2025-09-19 16:58:00,1.34925,1.3492600000000001,1.34905,1.34905,277,1.3492250000000003,1.3490639999999996,51.408230858965084
2025-09-19 16:59:00,1.34905,1.34905,1.34883,1.3489499999999999,283,1.3492000000000004,1.3490544999999996,48.56222739959596
2025-09-19 17:00:00,1.34894,1.34915,1.34882,1.34907,343,1.3491780000000004,1.3490519999999997,51.99655042713338
2025-09-19 17:01:00,1.34908,1.34917,1.34905,1.34912,51,1.3491630000000003,1.3490589999999996,53.392869888014246
