Datetime,Open,High,Low,Close,Volume,IsDoji,Buy_Signal,Sell_Signal,Position_Buy,Position_Sell,Trade_Action,Capital,Shares_Held,Market_Return,Cumulative_Market_Returns,Strategy_Value,Cumulative_Strategy_Returns
30/05/2025,56800,56900,56400,56400,3934000,False,False,False,False,False,,94290000,100,-0.005291005291005346,0.9877408056042032,99930000,0.9993
02/06/2025,56500,56500,56100,56200,3225700,False,False,False,False,False,,94290000,100,-0.0035460992907800915,0.9842381786339756,99910000,0.9991
03/06/2025,56700,56900,56400,56800,3364000,False,False,False,False,False,,94290000,100,0.01067615658362997,0.9947460595446587,99970000,0.9997
04/06/2025,56900,57000,56500,56600,2690500,False,False,False,False,False,,94290000,100,-0.0035211267605633756,0.991243432574431,99950000,0.9995
05/06/2025,56700,56800,56300,56300,2783100,False,False,False,False,False,,94290000,100,-0.005300353356890497,0.9859894921190895,99920000,0.9992
06/06/2025,56300,56600,56100,56100,2531900,False,False,False,False,False,,94290000,100,-0.003552397868561319,0.9824868651488617,99900000,0.999
09/06/2025,56200,56400,55900,55900,2223900,False,False,False,False,False,,94290000,100,-0.0035650623885917776,0.9789842381786341,99880000,0.9988
10/06/2025,56000,56200,55900,55900,2231400,False,False,False,False,False,,94290000,100,0.0,0.9789842381786341,99880000,0.9988
11/06/2025,56200,56200,55700,55700,2295800,False,False,False,False,False,,94290000,100,-0.003577817531305927,0.9754816112084064,99860000,0.9986
12/06/2025,56000,56100,55700,56000,2560800,True,True,False,False,False,,94290000,100,0.0053859964093356805,0.9807355516637478,99890000,0.9989
13/06/2025,55900,57100,55600,56200,5364900,False,False,False,True,False,Buy,88700000,200,0.0035714285714285587,0.9842381786339754,99940000,0.9994
16/06/2025,56200,56700,56200,56600,4336600,False,False,False,False,False,,88700000,200,0.007117437722419906,0.9912434325744308,100020000,1.0002
17/06/2025,56900,57500,56800,57200,5159800,False,False,False,False,False,,88700000,200,0.010600706713780994,1.001751313485114,100140000,1.0014
18/06/2025,57200,57300,56500,56700,3421100,False,False,False,False,False,,88700000,200,-0.00874125874125875,0.9929947460595447,100040000,1.0004
