Datetime,Open,High,Low,Close,Volume,EMA10,EMA20,EMA60,MACD,Signal,Hist,Buy_Signal,Buy_Signal1
2025-09-30 00:05:00,114358.35,114427.0,114345.52,114388.0,246,114383.1077870197,114332.56500962938,114079.69325377335,53.82836303859949,79.47256635692153,-25.64420331832204,False,False
2025-09-30 00:10:00,114388.0,114410.0,114266.0,114268.0,160,114362.17909847066,114326.41596109325,114085.86724545292,20.51295401873358,59.81936224419222,-39.30640822545864,False,True
2025-09-30 00:15:00,114266.0,114302.0,114254.5,114282.0,235,114347.6010805669,114322.18586956056,114092.29782756921,3.1000738474249374,40.91293277860313,-37.81285893117819,False,True
2025-09-30 00:20:00,114283.0,114289.0,114255.0,114262.0,163,114332.03724773656,114316.45388198337,114097.86183322268,-12.263253044715384,23.187537504163625,-35.45079054887901,False,True
2025-09-30 00:25:00,114261.0,114269.0,114207.0,114239.0,195,114315.12138451173,114309.07732179448,114102.48931410062,-26.616902502049925,6.586057502092441,-33.20296000414237,False,True
2025-09-30 00:30:00,114239.5,114241.0,114187.0,114188.0,173,114292.0084055096,114297.54614829025,114105.2929431465,-46.572535428626,-11.133473474813705,-35.43906195381229,False,True
2025-09-30 00:35:00,114186.0,114237.0,114161.0,114232.0,188,114281.09778632603,114291.3036579769,114109.4472728794,-46.65458273582044,-22.973843228482615,-23.680739507337826,False,True
2025-09-30 00:40:00,114230.0,114263.0,114198.5,114263.0,180,114277.8072797213,114288.60807150291,114114.48178852271,-37.84202134219231,-27.929902599719178,-9.912118742473133,False,True
2025-09-30 00:45:00,114261.0,114342.0,114261.0,114340.0,129,114289.1150470447,114293.50254088358,114121.87582824328,-12.991840776434401,-22.950548658624253,9.958707882189852,True,False
2025-09-30 00:50:00,114336.0,114342.0,114230.0,114258.0,181,114283.45776576384,114290.12134651371,114126.33891584186,-17.11421310894366,-21.005103475397387,3.8908903664537284,False,True
2025-09-30 00:55:00,114258.0,114308.0,114248.0,114266.0,157,114280.28362653406,114287.82407541717,114130.91796778147,-17.15265314732096,-19.72095336603858,2.568300218717617,False,True
2025-09-30 01:00:00,114262.0,114307.0,114216.0,114243.0,255,114273.50478534604,114283.55511585363,114134.59278850995,-22.107501007063547,-20.516469246380236,-1.591031760683311,False,True
2025-09-30 01:05:00,114244.0,114247.0,114200.0,114225.0,165,114264.68573346494,114277.97843815328,114137.55695937847,-28.68002825557778,-23.237655582779418,-5.4423726727983635,False,True
