2025-08-04 10:06:16,840 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,841 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,841 - INFO - SELL 8651 EURUSD.sml @ 1.15549 VND, P&L: 2.76832 VND (0.03%)
2025-08-04 10:06:16,842 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,843 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,843 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,844 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,844 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,845 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,845 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,846 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,847 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,847 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,848 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,848 - INFO - BUY 8649 EURUSD.sml @ 1.15575 VND
2025-08-04 10:06:16,849 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,849 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,850 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,850 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,850 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,851 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,851 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,852 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,852 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,853 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,853 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,854 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,854 - INFO - SELL 8649 EURUSD.sml @ 1.15533 VND, P&L: -3.63258 VND (-0.04%)
2025-08-04 10:06:16,855 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,855 - INFO - No position in EURUSD.sml, skipping SELL signal
